object_id,longitude,latitude,neighborhoods,borough
64,-73.94178489,40.68723161,Bedford Stuyvesant,Brooklyn
65,-73.99378225,40.69586372,Brooklyn Heights,Brooklyn
66,-73.99856139,40.68791972,Cobble Hill,Brooklyn
67,-74.00037274,40.68213189,Carroll Gardens,Brooklyn
68,-74.01275897,40.67625323,Red Hook,Brooklyn
69,-73.99444087,40.67393114,Gowanus,Brooklyn
70,-73.97290574,40.68852726,Fort Greene,Brooklyn
71,-73.9770503,40.67232052,Park Slope,Brooklyn
72,-73.87583132,40.68463579,Cypress Hills,Brooklyn
73,-73.88069864,40.6699257,East New York,Brooklyn
74,-73.8793697,40.64758905,Starrett City,Brooklyn
75,-73.9020927,40.63556433,Canarsie,Brooklyn
76,-73.92911303,40.63044604,Flatlands,Brooklyn
77,-73.90818572,40.60633642,Mill Island,Brooklyn
78,-73.94353723,40.5779135,Manhattan Beach,Brooklyn
79,-73.98868296,40.57429256,Coney Island,Brooklyn
80,-73.99875221,40.5995187,Bath Beach,Brooklyn
81,-73.99049823,40.63313051,Borough Park,Brooklyn
82,-74.01931376,40.61921946,Dyker Heights,Brooklyn
83,-73.93010171,40.59084843,Gerritsen Beach,Brooklyn
84,-73.93134404,40.60974778,Marine Park,Brooklyn
85,-73.96784306,40.69322942,Clinton Hill,Brooklyn
86,-74.00787311,40.57637538,Sea Gate,Brooklyn
87,-73.98346337,40.69084402,Downtown,Brooklyn
88,-73.98357725,40.68724138,Boerum Hill,Brooklyn
89,-73.95489867,40.65842002,Prospect Lefferts Gardens,Brooklyn
90,-73.91306832,40.67840255,Ocean Hill,Brooklyn
91,-73.86797598,40.67856996,City Line,Brooklyn
92,-73.89855634,40.61514955,Bergen Beach,Brooklyn
93,-73.95759523,40.6255959,Midwood,Brooklyn
94,-73.96261317,40.6470086,Prospect Park South,Brooklyn
95,-73.91607484,40.62384524,Georgetown,Brooklyn
96,-73.86998779,40.65713928,Spring Creek,Brooklyn
97,-73.93885815,40.70849241,East Williamsburg,Brooklyn
98,-73.95880858,40.71482291,North Side,Brooklyn
99,-73.95800095,40.71086147,South Side,Brooklyn
100,-73.97164436,40.69879087,Navy Yard,Brooklyn
101,-73.96836678,40.61305977,Ocean Parkway,Brooklyn
102,-74.03197915,40.61476813,Fort Hamilton,Brooklyn
103,-73.99427936,40.71561842,Chinatown,Manhattan
104,-73.93690028,40.85190253,Washington Heights,Manhattan
105,-73.92121042,40.86768396,Inwood,Manhattan
106,-73.94968792,40.82360428,Hamilton Heights,Manhattan
107,-73.95738539,40.81693443,Manhattanville,Manhattan
108,-73.94321113,40.81597607,Central Harlem,Manhattan
109,-73.94418223,40.79224947,East Harlem,Manhattan
110,-73.96050763,40.77563857,Upper East Side,Manhattan
111,-73.94711784,40.77592985,Yorkville,Manhattan
112,-73.95885969,40.76811266,Lenox Hill,Manhattan
113,-73.94947057,40.76240373,Roosevelt Island,Manhattan
114,-73.97705924,40.787658,Upper West Side,Manhattan
115,-73.98533777,40.77352889,Lincoln Square,Manhattan
116,-73.99640768,40.75833369,Clinton,Manhattan
117,-73.98166883,40.7546911,Midtown,Manhattan
118,-73.97833208,40.74830308,Murray Hill,Manhattan
119,-74.00311633,40.74403471,Chelsea,Manhattan
120,-73.99991403,40.72693289,Greenwich Village,Manhattan
121,-73.98222617,40.72784678,East Village,Manhattan
122,-73.98089032,40.71780675,Lower East Side,Manhattan
123,-74.01068329,40.72152197,Tribeca,Manhattan
124,-73.99730467,40.71932379,Little Italy,Manhattan
125,-74.00065667,40.72218384,Soho,Manhattan
126,-74.00617998,40.73443394,West Village,Manhattan
127,-73.96428618,40.79730704,Manhattan Valley,Manhattan
128,-73.96389628,40.80799974,Morningside Heights,Manhattan
129,-73.98137595,40.73720983,Gramercy,Manhattan
130,-74.01686931,40.71193198,Battery Park City,Manhattan
131,-74.01066545,40.70710711,Financial District,Manhattan
132,-73.91565374,40.76850859,Astoria,Queens
133,-73.90184167,40.74634909,Woodside,Queens
134,-73.88282109,40.75198138,Jackson Heights,Queens
135,-73.88165622,40.74404851,Elmhurst,Queens
136,-73.83813765,40.65422528,Howard Beach,Queens
137,-73.85682497,40.74238175,South Corona,Queens
138,-73.84447501,40.72526378,Forest Hills,Queens
139,-73.82981906,40.70517904,Kew Gardens,Queens
140,-73.83183321,40.69794731,Richmond Hill,Queens
141,-73.82936759,40.76116362,Downtown Flushing,Queens
